review_id,aspect,sentiment_label,sentiment_score,aspect_cluster,mapped_aspect
5208,people,positive,0.82683444,3,Food
5208,need,positive,0.83563983,3,Food
5208,protips,positive,0.83205354,1,Accomodation
5208,sake,positive,0.8407836,3,Food
5208,market,positive,0.8411729,2,Food
5208,sandal,positive,0.8344016,1,Accomodation
5208,capsule,positive,0.827029,0,Atmosphere
5208,check,positive,0.84251344,2,Food
5208,parking,positive,0.8430197,4,Amenities
5208,room,positive,0.83840704,4,Location
5208,time,positive,0.8304225,3,Service
5208,diingat,positive,0.8322585,1,Accomodation
5208,headset,positive,0.8336662,1,Accomodation
5208,guy,positive,0.8378552,3,Atmosphere
5208,hygiene,positive,0.832051,0,Hygiene
5208,price,positive,0.85684514,2,Worth
5210,town,neutral,0.97695416,4,Location
5211,love,positive,0.9702538,3,Food
5211,town,positive,0.9707146,4,Location
5212,object,neutral,0.96481895,2,Location
5212,price,positive,0.9947154,2,Worth
5213,place,positive,0.99825126,3,Location
5215,place,positive,0.9856117,3,Location
5216,house,positive,0.99840003,3,Location
5216,service,positive,0.9950033,2,Service
5217,time,positive,0.9194942,3,Service
5219,tissue,negative,0.6522339,0,Food
5219,shampoo,negative,0.79415894,0,Hygiene
5219,men,negative,0.7732584,3,Service
5219,clothes,negative,0.65216047,0,Food
5219,container,negative,0.8893648,0,Food
5219,place,negative,0.67957747,3,Location
5220,idea,positive,0.9975909,3,Food
5221,room,positive,0.99594253,4,Location
5221,staff,positive,0.9960396,3,Service
5221,one,positive,0.9541051,3,Worth
5221,access,positive,0.9948486,2,Service
5222,downside,neutral,0.5679397,1,Worth
5222,bobobox,positive,0.9287511,1,Accomodation
5222,area,neutral,0.68164915,4,Location
5222,room,neutral,0.4945916,4,Location
5222,water,neutral,0.561088,4,Food
5222,facility,positive,0.803379,4,Location
5223,location,positive,0.9976419,4,Location
5223,favorite,positive,0.9960454,3,Location
5224,service,positive,0.997968,2,Service
5225,hotel,positive,0.96020764,4,Location
5225,room,positive,0.99772614,4,Location
5225,staff,positive,0.99839383,3,Service
5225,time,positive,0.99565166,3,Service
5225,facility,positive,0.9979327,4,Location
5226,impression,negative,0.9691609,3,Atmosphere
5226,amenity,positive,0.9218239,1,Amenities
5226,stuff,positive,0.5183957,0,Worth
5226,wifi,negative,0.99071336,2,Amenities
5227,place,positive,0.9950852,3,Location
5228,town,positive,0.9898435,4,Location
5229,office,positive,0.9728915,3,Service
5229,location,positive,0.9815087,4,Location
5229,area,positive,0.97523516,4,Location
5229,building,positive,0.9726619,4,Location
5229,entertainment,positive,0.97247225,2,Food
5229,conditioner,positive,0.500401,0,Amenities
5229,knob,positive,0.94982755,1,Location
5230,place,negative,0.9788397,3,Location
5231,wall,positive,0.8050826,4,Location
5231,bed,positive,0.96651447,0,Amenities
5231,service,positive,0.9948291,2,Service
5233,potato,positive,0.9759878,0,Food
5233,management,positive,0.96562284,2,Service
5233,water,positive,0.98971456,4,Food
5233,restaurant,positive,0.5705425,4,Food
5234,room,positive,0.9980142,4,Location
5234,job,positive,0.99814487,3,Service
5234,service,positive,0.99813545,2,Service
5240,staycation,positive,0.99518687,1,Accomodation
5240,place,positive,0.9877021,3,Location
5240,downside,positive,0.8949179,1,Worth
5240,access,positive,0.8887322,2,Service
5241,size,positive,0.98852855,2,Location
5241,place,positive,0.9984604,3,Location
5241,pod,positive,0.9975018,1,Amenities
5242,refill,neutral,0.69603646,1,Amenities
5242,bobobox,neutral,0.6215314,1,Accomodation
5242,view,positive,0.9851268,3,Location
5242,city,positive,0.65211135,4,Location
5242,staff,positive,0.97277135,3,Service
5242,environment,positive,0.5974662,3,Atmosphere
5242,place,positive,0.89938587,3,Location
5243,place,positive,0.9949385,3,Location
5244,handover,negative,0.89082307,1,Atmosphere
5244,process,negative,0.8672391,3,Atmosphere
5244,security,negative,0.8748686,3,Service
5244,people,negative,0.83193225,3,Food
5244,knickknack,negative,0.9088907,1,Accomodation
5244,guest,negative,0.84865856,3,Amenities
5244,city,negative,0.8554476,4,Location
5244,door,negative,0.83815175,4,Service
5244,light,negative,0.8342637,4,Atmosphere
5244,room,negative,0.7983693,4,Location
5244,app,negative,0.78746617,2,Service
5244,desk,negative,0.8810781,2,Service
5244,house,negative,0.8401255,3,Location
5244,stair,negative,0.9065958,1,Amenities
5244,hostel,negative,0.8537074,1,Amenities
5245,water,positive,0.9915468,4,Food
5245,room,positive,0.99766964,4,Location
5245,location,positive,0.98074096,4,Location
5246,hotel,neutral,0.92180884,4,Location
5246,attention,neutral,0.71011627,3,Food
5246,location,neutral,0.88421214,4,Location
5246,internet,positive,0.5150241,2,Service
5246,traveler,neutral,0.9014834,1,Amenities
5246,hallway,neutral,0.7764699,4,Amenities
5247,taxi,neutral,0.9107281,4,Service
5247,order,neutral,0.868718,3,Service
5247,transportation,neutral,0.9599152,2,Service
5247,crowd,neutral,0.660818,4,Atmosphere
5247,chance,neutral,0.90152043,3,Worth
5248,thing,negative,0.8254266,3,Worth
5248,hotel,neutral,0.51552534,4,Location
5251,staff,positive,0.9983407,3,Service
5253,bathroom,positive,0.87663263,0,Amenities
5253,hour,positive,0.71345294,4,Service
5253,location,positive,0.8142688,4,Location
5253,staff,positive,0.92034453,3,Service
5253,time,positive,0.6716125,3,Service
5253,fragrant,positive,0.9508499,0,Atmosphere
5254,space,positive,0.96249974,4,Atmosphere
5254,hotel,positive,0.91532564,4,Location
5254,review,positive,0.9443146,3,Service
5254,location,positive,0.9854675,4,Location
5254,smell,positive,0.9860321,0,Atmosphere
5254,door,positive,0.7485323,4,Service
5254,room,positive,0.9690437,4,Location
5254,service,positive,0.9829117,2,Service
5254,staying,positive,0.98757774,3,Location
5255,recommendation,positive,0.54678583,3,Service
5256,people,positive,0.57021457,3,Food
5256,one,positive,0.6873917,3,Worth
5256,location,positive,0.9821832,4,Location
5256,sex,positive,0.95507324,3,Hygiene
5256,aloneit,positive,0.71864945,1,Accomodation
5256,floor,positive,0.6491026,4,Location
5256,room,positive,0.57511973,4,Location
5256,cleanrd,positive,0.88587254,1,Accomodation
5256,roomit,positive,0.6098337,1,Accomodation
5256,peace,positive,0.70826447,3,Atmosphere
5258,hour,positive,0.90229744,4,Service
5258,process,positive,0.9288884,3,Atmosphere
5258,space,positive,0.9220677,4,Atmosphere
5258,key,positive,0.8654177,3,Location
5258,concept,positive,0.88469714,2,Location
5258,floor,positive,0.90122026,4,Location
5258,position,positive,0.8887199,3,Location
5258,sound,positive,0.90610737,3,Atmosphere
5258,officer,positive,0.94331884,3,Service
5258,clean,positive,0.9138903,0,Food
5258,place,positive,0.9108858,3,Location
5258,bed,positive,0.88506687,0,Amenities
5259,distance,negative,0.9898483,4,Location
5260,location,positive,0.86463106,4,Location
5260,floor,neutral,0.5149966,4,Location
5260,right,positive,0.64920443,3,Location
5260,room,positive,0.9280495,4,Location
5260,time,positive,0.51548475,3,Service
5260,experience,positive,0.5513897,3,Atmosphere
5260,child,positive,0.5453058,3,Food
5260,stair,negative,0.8041138,1,Amenities
5261,hospitality,positive,0.99882525,1,Amenities
5261,receptionist,positive,0.9985469,1,Accomodation
5262,center,negative,0.89201564,4,Location
5262,room,positive,0.99552333,4,Location
5262,facility,positive,0.6059965,4,Location
5262,service,positive,0.9949184,2,Service
5263,cabin,positive,0.88379365,4,Amenities
5263,destination,positive,0.9669231,4,Location
5263,position,positive,0.8513432,3,Location
5263,service,positive,0.98759997,2,Service
5263,highlight,positive,0.9664149,3,Location
5263,disappoints,positive,0.9696563,1,Accomodation
5264,location,positive,0.9914963,4,Location
5264,lady,positive,0.9962966,3,Service
5264,vehicle,positive,0.92844474,2,Location
5264,room,positive,0.9944397,4,Location
5264,mattress,positive,0.55074054,0,Amenities
5264,service,positive,0.99694,2,Service
5265,cleanliness,positive,0.97507477,1,Hygiene
5265,fortune,positive,0.9714324,3,Worth
5265,parking,positive,0.57653457,4,Amenities
5265,room,positive,0.9869083,4,Location
5265,health,positive,0.973794,3,Food
5267,face,negative,0.818942,3,Food
5267,comfort,positive,0.96997124,3,Amenities
5267,guy,negative,0.76668787,3,Atmosphere
5267,day,negative,0.48157212,3,Service
5268,location,positive,0.98148924,4,Location
5268,service,positive,0.99853456,2,Service
5269,concept,positive,0.9922125,2,Location
5269,location,negative,0.99486685,4,Location
5269,door,neutral,0.5423566,4,Service
5269,thanks,positive,0.7575486,3,Service
5269,hostel,positive,0.9855399,1,Amenities
5269,code,positive,0.95528644,2,Service
5270,bathroom,negative,0.9928081,0,Amenities
5270,room,negative,0.92649275,4,Location
5270,rest,positive,0.87720877,3,Service
5271,location,neutral,0.5529131,4,Location
5271,place,neutral,0.80054146,3,Location
5271,staff,positive,0.9713244,3,Service
5271,area,neutral,0.79413,4,Location
5272,area,neutral,0.79406744,4,Location
5272,location,neutral,0.55568236,4,Location
5272,staff,positive,0.971467,3,Service
5272,service,neutral,0.49895084,2,Service
5272,place,neutral,0.82948816,3,Location
5273,location,positive,0.9943116,4,Location
5274,booking,negative,0.9827876,2,Service
5274,fine,negative,0.99289286,3,Worth
5275,parking,negative,0.9885959,4,Amenities
5275,hour,positive,0.8604251,4,Service
5275,location,positive,0.9815832,4,Location
5275,toilet,negative,0.97496355,0,Hygiene
5278,location,positive,0.9547235,4,Location
5278,traveler,positive,0.703942,1,Amenities
5278,place,positive,0.98097813,3,Location
5279,type,positive,0.81012,2,Location
5279,bathroom,positive,0.75652224,0,Amenities
5279,concept,positive,0.9808791,2,Location
5279,location,positive,0.9580723,4,Location
5279,right,positive,0.89277107,3,Location
5279,lol,positive,0.8734286,1,Accomodation
5279,access,positive,0.9535933,2,Service
5279,plane,positive,0.8645619,4,Location
5279,place,positive,0.9621459,3,Location
5280,recommendation,negative,0.83180344,3,Service
5280,receptionist,negative,0.9863624,1,Accomodation
5283,location,positive,0.996525,4,Location
5284,day,negative,0.95467436,3,Service
5284,mattress,negative,0.9800016,0,Amenities
5284,noise,negative,0.9895086,4,Atmosphere
5284,footstep,negative,0.9911738,1,Accomodation
5285,location,positive,0.97763544,4,Location
5285,facility,positive,0.9985499,4,Location
5286,conditioning,negative,0.7280512,0,Amenities
5287,problem,negative,0.605016,3,Food
5287,bedroom,neutral,0.54810065,4,Amenities
5287,partition,negative,0.96603096,1,Location
5287,feel,positive,0.99423814,3,Atmosphere
5288,smell,negative,0.9963965,0,Atmosphere
5289,trip,neutral,0.9510127,3,Location
5290,condition,neutral,0.64337915,3,Location
5290,branch,negative,0.5234616,4,Service
5291,floor,positive,0.9863833,4,Location
5291,room,positive,0.9931219,4,Location
5291,time,positive,0.9911634,3,Service
5291,employee,positive,0.99631137,2,Service
5291,facility,positive,0.98719704,4,Location
5291,place,positive,0.9932286,3,Location
5291,stay,positive,0.992568,3,Food
5291,apps,positive,0.89915025,2,Amenities
5292,place,neutral,0.8229924,3,Location
5293,accommodation,neutral,0.9816721,4,Amenities
5294,schedule,positive,0.67528033,3,Service
5294,staff,positive,0.97216964,3,Service
5294,experience,positive,0.8470931,3,Atmosphere
5295,staff,positive,0.87272704,3,Service
5296,location,positive,0.9013025,4,Location
5298,space,positive,0.9912879,4,Atmosphere
5298,feature,positive,0.9681141,2,Location
5298,time,positive,0.98967254,3,Service
5298,monitor,positive,0.983648,2,Service
5298,experience,positive,0.9952684,3,Atmosphere
5298,bed,positive,0.9965571,0,Amenities
5299,bathroom,positive,0.9945458,0,Amenities
5299,room,positive,0.99486417,4,Location
5299,place,positive,0.7760584,3,Location
5299,floor,positive,0.6257855,4,Location
5301,hotel,negative,0.9545596,4,Location
5301,shower,negative,0.79419434,0,Amenities
5301,temple,positive,0.5072599,4,Location
5304,water,negative,0.94118947,4,Food
5305,thing,positive,0.40898314,3,Worth
5305,need,negative,0.5000174,3,Food
5305,water,negative,0.6068081,4,Food
5305,brother,negative,0.38740525,3,Location
5305,place,positive,0.47348186,3,Location
5306,customer,negative,0.960368,2,Service
5306,water,negative,0.88110125,4,Food
5306,time,negative,0.9460955,3,Service
5306,need,negative,0.6474181,3,Food
5307,receptionist,negative,0.9858672,1,Accomodation
5307,facility,negative,0.9509636,4,Location
5307,toilet,negative,0.96498644,0,Hygiene
5309,problem,negative,0.9163459,3,Food
5309,water,negative,0.9925782,4,Food
5309,shower,neutral,0.83658946,0,Amenities
5310,room,positive,0.95599246,4,Location
5310,location,positive,0.7171174,4,Location
5310,soap,positive,0.97446,0,Food
5310,experience,positive,0.9464592,3,Atmosphere
5312,room,positive,0.94683975,4,Location
5312,budget,positive,0.96731603,3,Worth
5312,backpacker,positive,0.9577307,1,Accomodation
5314,ini,positive,0.8788322,1,Service
5314,bathroom,positive,0.88003844,0,Amenities
5314,wa,positive,0.8820159,1,Accomodation
5314,hotel,positive,0.87799186,4,Location
5314,space,positive,0.8805618,4,Atmosphere
5314,ac,positive,0.8776403,2,Service
5314,area,positive,0.86595696,4,Location
5314,way,positive,0.88026494,3,Service
5314,door,positive,0.8753874,4,Service
5314,check,positive,0.8752164,2,Food
5314,room,positive,0.8718628,4,Location
5314,staff,positive,0.9159325,3,Service
5314,time,positive,0.88289493,3,Service
5314,number,positive,0.87380266,3,Service
5314,pod,positive,0.87216914,1,Amenities
5314,bed,positive,0.87014395,0,Amenities
5315,ini,positive,0.9977646,1,Service
5315,atmosphere,positive,0.99792373,3,Atmosphere
5315,checkini,positive,0.99766785,1,Accomodation
5315,convenience,positive,0.99779475,2,Amenities
5315,demeanor,positive,0.9979494,1,Atmosphere
5315,street,positive,0.99771523,4,Location
5315,receptionist,positive,0.99784625,1,Accomodation
5315,location,positive,0.9978199,4,Location
5315,spot,positive,0.9978073,4,Location
5315,access,positive,0.997818,2,Service
5315,night,positive,0.9978346,4,Service
5315,experience,positive,0.99779,3,Atmosphere
5315,attraction,positive,0.9977215,4,Location
5315,environment,positive,0.9978756,3,Atmosphere
5316,side,positive,0.8919152,4,Location
5316,wort,positive,0.9327714,1,Accomodation
5316,kind,positive,0.910729,3,Atmosphere
5316,service,positive,0.98157114,2,Service
5316,place,positive,0.89965,3,Location
5317,problem,positive,0.9659038,3,Food
5317,room,positive,0.9940143,4,Location
5317,staff,positive,0.9958157,3,Service
5318,shower,neutral,0.96684766,0,Amenities
5319,bathroom,positive,0.965367,0,Amenities
5319,thing,positive,0.9168614,3,Worth
5319,towel,positive,0.9581143,0,Hygiene
5319,hair,positive,0.6845762,0,Food
5319,vacation,positive,0.78156954,4,Location
5319,check,positive,0.91962576,2,Food
5320,room,positive,0.98278564,4,Location
5320,staff,positive,0.9503894,3,Service
5320,time,positive,0.9729556,3,Service
5320,position,positive,0.94760054,3,Location
5320,temperature,positive,0.97332925,0,Atmosphere
5321,date,negative,0.98653156,3,Location
5321,rule,negative,0.9910286,3,Service
5322,bathroom,negative,0.9867622,0,Amenities
5323,pod,positive,0.9987048,1,Amenities
5324,staff,positive,0.98470783,3,Service
5324,service,negative,0.98822474,2,Service
5325,location,positive,0.994665,4,Location
5325,staff,positive,0.99816364,3,Service
5325,service,positive,0.99789846,2,Service
5326,bathroom,positive,0.99088836,0,Amenities
5326,room,positive,0.8089226,4,Location
5327,bathroom,positive,0.96064526,0,Amenities
5327,towel,positive,0.9663599,0,Hygiene
5327,atmosphere,positive,0.985341,3,Atmosphere
5327,security,positive,0.97837216,3,Service
5327,bobobox,positive,0.96993715,1,Accomodation
5327,receptionist,positive,0.9811462,1,Accomodation
5327,location,positive,0.979791,4,Location
5327,suggestion,positive,0.9676642,3,Food
5327,floor,positive,0.9661469,4,Location
5327,problem,positive,0.9692693,3,Food
5327,staff,positive,0.97960836,3,Service
5327,time,positive,0.97182816,3,Service
5327,service,positive,0.9907328,2,Service
5327,conditioner,positive,0.96837115,0,Amenities
5328,service,positive,0.9988796,2,Service
5329,room,positive,0.9635286,4,Location
5329,drawback,negative,0.495624,1,Amenities
5329,service,positive,0.9947577,2,Service
5330,location,positive,0.9930651,4,Location
5330,service,positive,0.9984658,2,Service
5331,place,positive,0.9959572,3,Location
5333,employee,negative,0.9406161,2,Service
5333,facility,positive,0.75200593,4,Location
5335,rest,positive,0.99390763,3,Service
5335,comment,positive,0.97578,3,Service
5335,location,positive,0.99589074,4,Location
5335,room,positive,0.99285126,4,Location
5335,time,positive,0.96477014,3,Service
5335,service,positive,0.9964142,2,Service
5335,one,positive,0.9539836,3,Worth
5336,bathroom,negative,0.80761117,0,Amenities
5336,lobby,negative,0.9941103,4,Food
5336,face,negative,0.98080814,3,Food
5336,mattress,negative,0.9879495,0,Amenities
5336,assessment,negative,0.565685,3,Hygiene
5336,service,negative,0.9404735,2,Service
5336,stain,negative,0.9886817,0,Hygiene
5337,condition,negative,0.7658467,3,Location
5337,situation,negative,0.67316335,3,Atmosphere
5337,area,negative,0.5732898,4,Location
5337,use,negative,0.53841364,2,Service
5337,floor,negative,0.8255128,4,Location
5337,staff,positive,0.59314865,3,Service
5337,time,negative,0.4625364,3,Service
5337,position,positive,0.82328796,3,Location
5337,service,positive,0.58119404,2,Service
5337,child,negative,0.6336437,3,Food
5337,explanation,positive,0.5074031,3,Location
5338,bed,positive,0.9981066,0,Amenities
5339,thing,negative,0.9938678,3,Worth
5339,experience,negative,0.9972005,3,Atmosphere
5340,bathroom,positive,0.84805167,0,Amenities
5340,sheet,negative,0.72498214,0,Worth
5340,boboboxes,positive,0.62247604,1,Accomodation
5341,bathroom,positive,0.99720204,0,Amenities
5341,room,positive,0.9961195,4,Location
5341,staff,positive,0.99740666,3,Service
5341,time,positive,0.95251346,3,Service
5341,facility,positive,0.99627846,4,Location
5341,experience,positive,0.9951219,3,Atmosphere
5341,conditioner,positive,0.9965654,0,Amenities
5344,experience,positive,0.96377134,3,Atmosphere
5344,luggage,positive,0.9393134,0,Amenities
5344,room,positive,0.97937894,4,Location
5344,fun,positive,0.9737578,3,Atmosphere
5344,price,positive,0.9655488,2,Worth
5344,stay,positive,0.9749194,3,Food
5345,traveler,positive,0.9088157,1,Amenities
5345,time,positive,0.9409005,3,Service
5346,room,positive,0.7651686,4,Location
5346,people,positive,0.630979,3,Food
5348,sleep,positive,0.99736905,3,Food
5349,cabin,positive,0.99528754,4,Amenities
5350,city,positive,0.9910398,4,Location
5351,bathroom,neutral,0.84753543,0,Amenities
5351,location,neutral,0.82369334,4,Location
5351,guest,neutral,0.4958071,3,Amenities
5351,sheet,negative,0.4946532,0,Worth
5351,service,positive,0.97023153,2,Service
5351,gallon,neutral,0.79720885,0,Worth
5354,hotel,positive,0.9916347,4,Location
5354,experience,positive,0.98480034,3,Atmosphere
5355,child,positive,0.9922766,3,Food
5355,experience,positive,0.99831486,3,Atmosphere
5356,staff,positive,0.9981299,3,Service
5359,capsule,positive,0.9980367,0,Atmosphere
5360,staff,positive,0.9982855,3,Service
5360,time,positive,0.99653673,3,Service
5360,area,positive,0.99818593,4,Location
5361,location,positive,0.9961903,4,Location
5363,price,negative,0.989981,2,Worth
5364,blanket,positive,0.44478467,0,Atmosphere
5364,receptionist,positive,0.97647285,1,Accomodation
5364,location,positive,0.50405586,4,Location
5364,floor,positive,0.5067509,4,Location
5364,room,positive,0.8722541,4,Location
5364,service,positive,0.9925599,2,Service
5365,experience,positive,0.9936016,3,Atmosphere
5366,bathroom,positive,0.99095446,0,Amenities
5366,month,positive,0.9012866,3,Worth
5366,area,positive,0.9954269,4,Location
5366,floor,positive,0.9881578,4,Location
5366,conditioning,positive,0.9708477,0,Amenities
5366,water,positive,0.9925718,4,Food
5366,officer,positive,0.99705887,3,Service
5366,bed,positive,0.9972372,0,Amenities
5368,air,negative,0.9046859,4,Service
